Degree,Distance
52.61
161,2189.14
162,2153.31
163,2189.01
164,2153.83
165,2187.78
166,2154.15
167,2188.92
168,2153.95
169,2189.26
170,2153.24
171,2188.80
172,2154.07
173,2188.41
174,2153.58
175,2189.11
176,2153.93
177,2189.23
178,2152.45
179,2188.77
180,2152.93
181,2188.60
182,2153.58
183,2189.29
184,2153.95
185,2189.43
186,2153.85
187,2189.24
188,2154.17
189,2188.75
190,2153.82
191,2189.19
192,2152.95
193,2189.38
194,2153.76
195,2189.16
196,2153.76
197,2188.80
198,2154.22
199,2189.21
200,2154.05
201,2189.38
202,2153.82
203,2189.16
204,2153.90
205,2188.87
206,2154.39
207,2189.09
208,2153.76
209,2189.23
210,2154.24
211,2188.99
212,2154.44
213,2188.63
214,2154.24
215,2189.09
216,2153.82
217,2189.07
218,2154.26
219,2189.07
220,2153.98
221,2188.70
222,2154.43
223,2188.94
224,2153.49
225,2189.21
226,2153.98
227,2189.04
228,2153.39
229,2188.72
230,2154.58
231,2189.21
232,2154.29
233,2189.24
234,2153.90
235,2189.29
236,2154.60
237,2188.87
238,2154.66
239,2189.41
240,2154.38
241,2189.26
242,2154.44
243,2189.23
244,2154.09
245,2188.99
246,2154.10
247,2189.16
248,2154.39
249,2189.40
250,2154.36
251,2189.28
252,2154.22
253,2188.84
254,2154.56
255,2189.23
256,2154.02
257,2189.38
258,2154.43
259,2189.21
260,2154.31
261,2188.94
262,2154.44
263,2189.38
264,2154.15
265,2189.50
266,2154.14
267,2189.38
268,2154.43
269,2188.99
270,2154.34
271,2189.28
272,2154.33
273,2189.43
274,2154.21
275,2189.45
276,2154.29
277,2188.89
278,2153.98
279,2189.33
280,2154.15
281,2189.48
282,2153.88
283,2189.38
284,2154.29
285,2189.12
286,2154.50
287,2189.41
288,2154.43
289,2189.65
290,2154.44
291,2189.41
292,2154.55
293,2189.11
294,2154.48
295,2189.52
296,2154.26
297,2189.60
298,2154.36
299,2189.53
300,2154.55
301,2188.78
302,2154.58
303,2189.46
304,2153.46
305,2189.57
306,2153.97
307,2189.55
308,2154.39
309,2189.09
310,2154.34
311,2189.38
312,2154.34
313,2189.52
314,2154.60
315,2189.26
316,2154.29
317,2188.41
318,2154.65
319,2189.31
320,2154.55
321,2189.63
322,2153.61
323,2189.38
324,2154.97
325,2189.09
326,2154.97
327,2188.75
328,2153.95
329,2189.62
330,2154.75
331,2189.33
332,2154.85
333,2189.07
334,2154.38
335,2189.58
336,2154.04
337,2189.68
338,2153.46
339,2189.38
340,2155.02
341,2188.84
342,2154.78
343,2189.46
344,2154.72
345,2189.57
346,2154.31
347,2189.57
348,2154.75
349,2189.17
350,2153.59
351,2189.63
352,2154.70
353,2189.70
354,2154.33
355,2189.65
356,2154.85
357,2189.24
358,2154.61
359,2189.46
0,2154.89
1,2190.06
2,2154.34
3,2189.70
4,2155.28
5,2189.36
6,2155.26
7,2189.67
8,2155.01
9,2189.79
10,2154.87
11,2189.68
12,2154.80
13,2189.28
14,2154.66
15,2189.57
16,2154.27
17,2189.84
18,2153.70
19,2189.68
20,2155.01
21,2189.23
22,2154.95
23,2189.74
24,2154.61
25,2189.99
26,2154.65
27,2189.70
28,2155.06
29,2189.09
30,2154.94
31,2189.82
32,2154.87
33,2189.89
34,2154.10
35,2189.77
36,2155.02
37,2189.41
38,2155.16
39,2189.75
40,2154.80
41,2189.92
42,2154.61
43,2189.77
44,2155.16
45,2189.36
46,2154.97
47,2189.92
48,2154.77
49,2189.96
50,2154.80
51,2189.77
52,2154.89
53,2189.35
54,2154.84
55,2189.70
56,2154.56
57,2189.84
58,2154.78
59,2189.72
60,2154.60
61,2189.29
62,2154.90
63,2189.72
64,2154.99
65,2189.97
66,2154.44
67,2189.79
68,2154.94
69,2189.12
70,2154.84
71,2189.62
72,2154.87
73,2189.91
74,2154.84
75,2189.77
76,2155.01
77,2189.52
78,2154.51
79,2189.77
80,2154.60
81,2190.03
82,2154.89
83,2189.92
84,2155.24
85,2189.36
86,2154.72
87,2189.80
88,2154.55
89,2189.99
90,2154.92
91,2189.91
92,2154.84
93,2189.50
94,2154.99
95,2189.96
96,2154.78
97,2190.13
98,2154.58
99,2190.03
100,2155.29
101,2189.57
102,2155.19
103,2190.06
104,2154.89
105,8.64
106,7.31
107,7.41
108,7.41
109,7.36
110,7.36
111,7.46
112,7.46
113,7.36
114,7.46
115,7.46
116,7.34
117,7.46
118,7.46
119,7.36
120,7.82
121,7.92
122,8.28
123,8.28
124,8.38
125,8.28
126,8.28
127,8.38
128,8.74
129,8.28
130,8.38
131,8.28
132,9.11
133,8.36
134,9.08
135,8.38
136,8.38
137,8.28
138,8.36
139,8.28
140,8.28
141,8.38
142,8.28
143,8.28
144,8.38
145,8.28
146,8.28
147,8.38
148,8.28
149,8.35
150,9.13
151,8.28
152,8.38
153,8.38
154,8.28
155,8.38
156,9.03
157,8.28
158,8.38
159,8.28
